City,Title,Address,Website,Phone Number
New York,"Tone House","32 E 31st St, New York, NY 10016, United States","tonehouse.com","+1 646-453-6633"
New York,"GYM NYC","227 Mulberry St, New York, NY 10012, United States","thegym.nyc","+1 646-678-4723"
New York,"DOGPOUND Gym, Personal Training & Group Fitness Classes","1 Renwick St, New York, NY 10013, United States","thedogpound.com","+1 646-620-6533"
New York,"Chelsea Piers Fitness","60 Chelsea Piers, New York, NY 10011, United States","fitness.chelseapiers.com","+1 212-336-6000"
New York,"COMPLETE by CompleteBody (Union Square)","25 W 14th St, New York, NY 10011, United States","completebody.com","+1 212-777-7705"
New York,"Mark Fisher Fitness","411 W 39th St, New York, NY 10018, United States","markfisherfitness.com","+1 917-983-0631"
New York,"Crunch Fitness - 38th Street","1385 Broadway, New York, NY 10018, United States","crunch.com","+1 212-869-7788"
New York,"Brick New York","465 Lexington Ave, New York, NY 10017, United States","bricknewyork.com","+1 917-388-2666"
New York,"Mid City Gym & Tanning","345 W 42nd St, New York, NY 10036, United States","midcitygym.com","+1 212-757-0850"
New York,"Crunch Fitness - 54th Street","250 W 54th St, New York, NY 10019, United States","crunch.com","+1 212-307-7760"
New York,"Orangetheory Fitness","321 W 37th St, New York, NY 10018, United States","orangetheory.com","+1 646-829-9330"
New York,"Crunch Fitness - Midtown East","511 Lexington Ave, New York, NY 10017, United States","crunch.com","+1 212-448-7330"
New York,"Planet Fitness","423 W 55th St, New York, NY 10019, United States","planetfitness.com","+1 212-336-0750"
New York,"Planet Fitness","158 W 27th St, New York, NY 10001, United States","planetfitness.com","+1 212-268-2501"
New York,"Crunch Fitness - Union Square","113 4th Ave, New York, NY 10003, United States","crunch.com","+1 212-533-0001"
New York,"Gotham Gym","600 Washington St, New York, NY 10014, United States","gothamgymnyc.com","+1 646-490-8500"
New York,"CompleteBody Financial District","10 Hanover Square, New York, NY 10005, United States","completebody.com","+1 212-777-7702"
New York,"Blink Fitness","111 Nassau St, New York, NY 10038, United States","locations.blinkfitness.com","+1 646-561-5459"
New York,"Oculus Fitness","151 William St, New York, NY 10038, United States","oculusfitness.com","+1 646-832-4788"
New York,"Hype Gym Union Square","37 Union Square W f2, New York, NY 10003, United States","hypegym.com","+1 917-291-0231"
New York,"Crunch Fitness - Bowery","2 Cooper Sq, New York, NY 10003, United States","crunch.com","+1 212-614-0120"
New York,"92Y May Center for Health, Fitness & Sport","1395 Lexington Ave, New York, NY 10128, United States","92ny.org","+1 212-415-5700"
New York,"Oculus Fitness","151 William St, New York, NY 10038, United States","oculusfitness.com","+1 646-832-4788"
New York,"Gotham Gym","600 Washington St, New York, NY 10014, United States","gothamgymnyc.com","+1 646-490-8500"
New York,"CompleteBody Midtown East","301 E 57th St, New York, NY 10022, United States","completebody.com","+1 212-777-7703"
New York,"Orangetheory Fitness","124 W 23rd St, New York, NY 10011, United States","orangetheory.com","+1 646-588-0133"
New York,"Manhattan Plaza Health Club","482 W 43rd St 2nd floor, New York, NY 10036, United States","mphc.com","+1 646-590-4411"
New York,"SWEAT440 Chelsea","600 6th Ave, New York, NY 10011, United States","sweat440.com","+1 888-507-9328"
